HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Rotherham,Middlesbrough,0.00,3.00,0.00,2.00,5.00,12.00,1.00,5.00,6.00,11.00,2.00,2.00,2.00,0.00,1.00,0.00
Watford,Millwall,3.00,1.00,2.00,1.00,10.00,11.00,7.00,4.00,12.00,18.00,7.00,6.00,1.00,5.00,0.00,0.00
Wigan,Fulham,3.00,3.00,1.00,2.00,17.00,13.00,8.00,4.00,15.00,11.00,10.00,5.00,2.00,1.00,1.00,1.00
Wolves,Birmingham,0.00,0.00,0.00,0.00,22.00,13.00,6.00,3.00,13.00,10.00,5.00,4.00,1.00,3.00,0.00,0.00
Birmingham,Watford,2.00,1.00,1.00,1.00,19.00,12.00,6.00,5.00,7.00,12.00,1.00,5.00,1.00,2.00,0.00,0.00
Bolton,Cardiff,3.00,0.00,2.00,0.00,15.00,14.00,6.00,4.00,20.00,5.00,6.00,7.00,1.00,1.00,0.00,0.00
Brighton,Wigan,1.00,0.00,1.00,0.00,10.00,18.00,3.00,5.00,10.00,15.00,3.00,4.00,0.00,2.00,0.00,0.00
Derby,Huddersfield,3.00,2.00,2.00,1.00,16.00,18.00,8.00,6.00,9.00,13.00,9.00,8.00,2.00,2.00,0.00,0.00
Ipswich,Wolves,2.00,1.00,1.00,0.00,20.00,13.00,8.00,1.00,14.00,8.00,8.00,5.00,3.00,2.00,0.00,0.00
Leeds,Charlton,2.00,2.00,0.00,0.00,18.00,6.00,6.00,3.00,12.00,13.00,7.00,5.00,2.00,2.00,0.00,0.00
Middlesbrough,Norwich,4.00,0.00,2.00,0.00,15.00,9.00,6.00,1.00,9.00,13.00,12.00,2.00,2.00,3.00,0.00,0.00
Millwall,Blackburn,2.00,2.00,0.00,1.00,15.00,17.00,6.00,2.00,13.00,9.00,5.00,4.00,2.00,1.00,1.00,0.00
Reading,Rotherham,3.00,0.00,1.00,0.00,13.00,8.00,5.00,4.00,15.00,12.00,8.00,5.00,2.00,2.00,0.00,0.00
Sheffield Weds,Bournemouth,0.00,2.00,0.00,0.00,11.00,16.00,3.00,6.00,5.00,4.00,3.00,3.00,1.00,0.00,1.00,0.00
Fulham,Blackpool,2.00,2.00,1.00,2.00,32.00,7.00,9.00,3.00,11.00,14.00,18.00,1.00,2.00,3.00,0.00,1.00
Nott'm Forest,Brentford,1.00,3.00,0.00,2.00,18.00,12.00,6.00,5.00,7.00,10.00,9.00,6.00,1.00,2.00,0.00,0.00
Bolton,Wigan,3.00,1.00,0.00,0.00,15.00,9.00,5.00,2.00,16.00,12.00,4.00,1.00,1.00,3.00,0.00,0.00
Birmingham,Cardiff,0.00,0.00,0.00,0.00,11.00,14.00,2.00,2.00,7.00,14.00,7.00,7.00,1.00,4.00,1.00,0.00
Brighton,Blackburn,1.00,1.00,1.00,0.00,14.00,14.00,5.00,4.00,14.00,7.00,6.00,4.00,2.00,4.00,0.00,0.00
Derby,Wolves,5.00,0.00,3.00,0.00,15.00,11.00,6.00,2.00,14.00,14.00,9.00,4.00,1.00,4.00,0.00,0.00
Fulham,Huddersfield,3.00,1.00,1.00,0.00,13.00,16.00,6.00,3.00,12.00,10.00,4.00,10.00,3.00,0.00,0.00,0.00
Ipswich,Watford,1.00,0.00,0.00,0.00,17.00,10.00,4.00,2.00,8.00,18.00,10.00,5.00,1.00,3.00,0.00,0.00
Leeds,Blackpool,3.00,1.00,3.00,0.00,18.00,14.00,6.00,1.00,9.00,13.00,2.00,3.00,1.00,0.00,0.00,0.00
Middlesbrough,Bournemouth,0.00,0.00,0.00,0.00,11.00,10.00,1.00,3.00,14.00,12.00,1.00,4.00,2.00,3.00,0.00,0.00
Millwall,Brentford,2.00,3.00,0.00,1.00,17.00,15.00,5.00,7.00,11.00,16.00,7.00,4.00,3.00,2.00,0.00,0.00
Nott'm Forest,Norwich,2.00,1.00,0.00,1.00,18.00,9.00,3.00,3.00,10.00,15.00,7.00,6.00,2.00,3.00,0.00,0.00
Reading,Charlton,0.00,1.00,0.00,1.00,20.00,9.00,2.00,4.00,9.00,11.00,12.00,0.00,2.00,2.00,0.00,0.00
Sheffield Weds,Rotherham,0.00,0.00,0.00,0.00,11.00,14.00,3.00,2.00,6.00,8.00,5.00,4.00,0.00,1.00,0.00,0.00
Brentford,Fulham,2.00,1.00,0.00,0.00,18.00,9.00,9.00,5.00,11.00,9.00,8.00,7.00,2.00,2.00,0.00,0.00
Cardiff,Reading,2.00,1.00,2.00,0.00,16.00,8.00,5.00,4.00,13.00,10.00,6.00,2.00,1.00,2.00,0.00,1.00
Blackburn,Leeds,2.00,1.00,0.00,1.00,20.00,10.00,5.00,3.00,8.00,14.00,6.00,5.00,1.00,2.00,1.00,0.00
Blackpool,Bolton,1.00,1.00,0.00,0.00,13.00,15.00,4.00,3.00,9.00,13.00,1.00,5.00,2.00,1.00,0.00,0.00
Bournemouth,Ipswich,2.00,2.00,1.00,0.00,23.00,10.00,9.00,4.00,9.00,15.00,6.00,6.00,2.00,3.00,0.00,0.00
Charlton,Millwall,0.00,0.00,0.00,0.00,10.00,14.00,5.00,6.00,11.00,13.00,9.00,7.00,1.00,2.00,0.00,0.00
Huddersfield,Sheffield Weds,0.00,0.00,0.00,0.00,16.00,15.00,3.00,3.00,6.00,14.00,8.00,10.00,1.00,4.00,0.00,0.00
Norwich,Brighton,3.00,3.00,1.00,1.00,23.00,13.00,10.00,5.00,17.00,7.00,5.00,2.00,2.00,2.00,1.00,0.00
Rotherham,Birmingham,0.00,1.00,0.00,0.00,11.00,23.00,2.00,8.00,10.00,9.00,5.00,4.00,2.00,1.00,0.00,0.00
Watford,Derby,1.00,2.00,0.00,1.00,15.00,11.00,6.00,6.00,18.00,12.00,6.00,9.00,4.00,1.00,0.00,0.00
Wigan,Middlesbrough,1.00,1.00,1.00,0.00,12.00,8.00,1.00,2.00,9.00,11.00,6.00,5.00,2.00,2.00,0.00,0.00
Wolves,Nott'm Forest,0.00,3.00,0.00,0.00,10.00,19.00,1.00,9.00,14.00,13.00,5.00,11.00,2.00,3.00,0.00,0.00
Birmingham,Nott'm Forest,2.00,1.00,1.00,0.00,17.00,9.00,7.00,5.00,10.00,13.00,10.00,2.00,1.00,4.00,0.00,1.00
Bolton,Huddersfield,1.00,0.00,0.00,0.00,14.00,10.00,3.00,3.00,10.00,12.00,3.00,3.00,2.00,2.00,0.00,0.00
Bournemouth,Millwall,2.00,2.00,2.00,0.00,15.00,16.00,3.00,7.00,8.00,11.00,3.00,6.00,1.00,3.00,0.00,0.00
Brentford,Wolves,4.00,0.00,1.00,0.00,9.00,9.00,5.00,2.00,8.00,13.00,8.00,2.00,1.00,4.00,0.00,0.00
Brighton,Fulham,1.00,2.00,0.00,0.00,19.00,17.00,4.00,3.00,10.00,12.00,8.00,5.00,1.00,3.00,1.00,0.00
Charlton,Ipswich,0.00,1.00,0.00,0.00,21.00,19.00,5.00,6.00,5.00,3.00,5.00,6.00,0.00,0.00,0.00,0.00
Leeds,Derby,2.00,0.00,1.00,0.00,14.00,11.00,5.00,0.00,18.00,6.00,5.00,6.00,4.00,5.00,0.00,0.00
Middlesbrough,Blackburn,1.00,1.00,0.00,0.00,25.00,13.00,11.00,6.00,9.00,9.00,15.00,6.00,1.00,1.00,0.00,0.00
Norwich,Reading,1.00,2.00,1.00,2.00,21.00,6.00,5.00,4.00,11.00,13.00,10.00,7.00,2.00,2.00,0.00,0.00
Rotherham,Blackpool,1.00,1.00,0.00,0.00,13.00,9.00,4.00,4.00,10.00,8.00,7.00,4.00,3.00,0.00,0.00,0.00
Sheffield Weds,Wigan,2.00,1.00,1.00,1.00,18.00,14.00,7.00,5.00,13.00,14.00,3.00,7.00,3.00,2.00,0.00,0.00
Watford,Cardiff,0.00,1.00,0.00,1.00,22.00,11.00,5.00,3.00,10.00,11.00,3.00,4.00,0.00,2.00,0.00,0.00
Fulham,Watford,0.00,5.00,0.00,3.00,8.00,17.00,2.00,10.00,5.00,14.00,5.00,10.00,0.00,1.00,1.00,0.00
Blackburn,Sheffield Weds,1.00,2.00,1.00,1.00,11.00,14.00,5.00,5.00,15.00,11.00,4.00,6.00,0.00,1.00,0.00,0.00
Blackpool,Birmingham,1.00,0.00,0.00,0.00,15.00,10.00,9.00,5.00,18.00,13.00,3.00,6.00,5.00,2.00,0.00,0.00
Cardiff,Rotherham,0.00,0.00,0.00,0.00,14.00,13.00,2.00,4.00,10.00,8.00,3.00,1.00,0.00,0.00,0.00,0.00
Derby,Brighton,3.00,0.00,3.00,0.00,18.00,11.00,8.00,0.00,11.00,10.00,4.00,4.00,2.00,2.00,0.00,0.00
Huddersfield,Brentford,2.00,1.00,1.00,0.00,18.00,22.00,8.00,8.00,11.00,9.00,3.00,7.00,3.00,3.00,0.00,0.00
Ipswich,Leeds,4.00,1.00,3.00,1.00,19.00,22.00,5.00,2.00,16.00,13.00,9.00,7.00,2.00,2.00,0.00,0.00
Millwall,Middlesbrough,1.00,5.00,0.00,4.00,16.00,15.00,3.00,7.00,10.00,14.00,3.00,5.00,1.00,0.00,0.00,0.00
Nott'm Forest,Charlton,1.00,1.00,0.00,1.00,17.00,4.00,5.00,3.00,14.00,10.00,3.00,3.00,2.00,1.00,0.00,0.00
Reading,Bolton,0.00,0.00,0.00,0.00,18.00,10.00,5.00,3.00,11.00,10.00,10.00,4.00,3.00,0.00,0.00,0.00
Wigan,Norwich,0.00,1.00,0.00,1.00,9.00,6.00,6.00,3.00,5.00,11.00,4.00,1.00,0.00,0.00,0.00,0.00
Wolves,Bournemouth,1.00,2.00,1.00,0.00,13.00,24.00,5.00,7.00,20.00,12.00,6.00,7.00,3.00,2.00,2.00,0.00
Brighton,Millwall,0.00,1.00,0.00,1.00,14.00,9.00,3.00,2.00,12.00,20.00,5.00,2.00,2.00,4.00,0.00,0.00
Birmingham,Reading,6.00,1.00,4.00,1.00,11.00,16.00,7.00,4.00,13.00,12.00,2.00,5.00,0.00,2.00,0.00,0.00
Bolton,Ipswich,0.00,0.00,0.00,0.00,6.00,19.00,0.00,7.00,13.00,9.00,5.00,6.00,2.00,3.00,0.00,0.00
Bournemouth,Cardiff,5.00,3.00,3.00,1.00,23.00,17.00,12.00,4.00,7.00,11.00,3.00,7.00,0.00,0.00,0.00,0.00
Brentford,Blackburn,3.00,1.00,1.00,1.00,11.00,11.00,5.00,4.00,13.00,12.00,3.00,3.00,1.00,2.00,0.00,0.00
Charlton,Blackpool,2.00,2.00,1.00,1.00,12.00,10.00,4.00,5.00,12.00,8.00,2.00,2.00,1.00,1.00,0.00,0.00
Leeds,Fulham,0.00,1.00,0.00,0.00,15.00,8.00,3.00,3.00,4.00,11.00,7.00,2.00,1.00,0.00,0.00,0.00
Middlesbrough,Derby,2.00,0.00,1.00,0.00,15.00,6.00,7.00,2.00,15.00,15.00,6.00,3.00,2.00,3.00,0.00,1.00
Norwich,Huddersfield,5.00,0.00,0.00,0.00,26.00,9.00,9.00,3.00,8.00,8.00,6.00,6.00,0.00,0.00,0.00,1.00
Rotherham,Nott'm Forest,0.00,0.00,0.00,0.00,16.00,8.00,3.00,0.00,13.00,14.00,4.00,6.00,2.00,1.00,0.00,0.00
Sheffield Weds,Wolves,0.00,1.00,0.00,0.00,16.00,15.00,2.00,5.00,9.00,16.00,6.00,6.00,2.00,0.00,0.00,0.00
Watford,Wigan,2.00,1.00,1.00,1.00,14.00,11.00,4.00,4.00,11.00,8.00,0.00,6.00,2.00,1.00,0.00,0.00
Millwall,Bolton,0.00,1.00,0.00,0.00,8.00,14.00,2.00,8.00,12.00,14.00,3.00,4.00,2.00,3.00,0.00,0.00
Blackburn,Charlton,2.00,0.00,2.00,0.00,19.00,8.00,7.00,2.00,10.00,12.00,8.00,6.00,0.00,1.00,0.00,0.00
Blackpool,Bournemouth,1.00,6.00,0.00,2.00,11.00,21.00,6.00,11.00,11.00,8.00,4.00,6.00,2.00,1.00,0.00,0.00
Cardiff,Brentford,2.00,3.00,0.00,3.00,20.00,9.00,9.00,5.00,11.00,11.00,7.00,3.00,1.00,4.00,0.00,0.00
Derby,Norwich,2.00,2.00,1.00,0.00,6.00,17.00,2.00,3.00,5.00,9.00,1.00,3.00,1.00,2.00,0.00,0.00
Fulham,Sheffield Weds,4.00,0.00,2.00,0.00,13.00,17.00,6.00,2.00,11.00,14.00,4.00,9.00,2.00,3.00,0.00,0.00
Huddersfield,Birmingham,0.00,1.00,0.00,0.00,16.00,9.00,5.00,2.00,13.00,14.00,7.00,5.00,1.00,1.00,0.00,0.00
Ipswich,Middlesbrough,2.00,0.00,2.00,0.00,15.00,12.00,6.00,3.00,5.00,19.00,1.00,6.00,1.00,3.00,0.00,0.00
Nott'm Forest,Leeds,1.00,1.00,1.00,0.00,17.00,8.00,6.00,4.00,14.00,12.00,7.00,4.00,3.00,1.00,0.00,0.00
Reading,Watford,0.00,1.00,0.00,0.00,16.00,6.00,4.00,2.00,9.00,9.00,7.00,4.00,2.00,1.00,0.00,1.00
Wigan,Rotherham,1.00,2.00,0.00,1.00,14.00,13.00,3.00,6.00,13.00,14.00,11.00,3.00,2.00,4.00,0.00,0.00
Wolves,Brighton,1.00,1.00,0.00,1.00,19.00,5.00,7.00,3.00,10.00,14.00,6.00,1.00,3.00,3.00,0.00,1.00
Birmingham,Derby,0.00,4.00,0.00,2.00,10.00,15.00,2.00,6.00,8.00,12.00,3.00,9.00,1.00,2.00,0.00,0.00
Bolton,Blackburn,2.00,1.00,0.00,1.00,13.00,16.00,6.00,5.00,16.00,16.00,7.00,5.00,1.00,2.00,0.00,0.00
Bournemouth,Fulham,2.00,0.00,1.00,0.00,17.00,5.00,7.00,0.00,9.00,14.00,6.00,5.00,2.00,1.00,0.00,0.00
Brentford,Ipswich,2.00,4.00,0.00,3.00,16.00,13.00,6.00,7.00,5.00,9.00,3.00,4.00,2.00,1.00,0.00,0.00
Brighton,Reading,2.00,2.00,1.00,2.00,15.00,10.00,7.00,4.00,12.00,18.00,9.00,4.00,1.00,4.00,0.00,0.00
Charlton,Cardiff,1.00,1.00,0.00,1.00,18.00,15.00,7.00,5.00,15.00,8.00,5.00,3.00,1.00,1.00,1.00,0.00
Leeds,Wigan,0.00,2.00,0.00,1.00,24.00,9.00,4.00,4.00,6.00,6.00,10.00,3.00,1.00,1.00,0.00,0.00
Middlesbrough,Nott'm Forest,3.00,0.00,0.00,0.00,14.00,11.00,7.00,3.00,11.00,12.00,11.00,4.00,0.00,1.00,0.00,1.00
Norwich,Millwall,6.00,1.00,2.00,0.00,21.00,8.00,13.00,3.00,11.00,4.00,3.00,9.00,0.00,1.00,0.00,0.00
Rotherham,Huddersfield,2.00,2.00,0.00,1.00,9.00,13.00,4.00,6.00,4.00,13.00,2.00,8.00,2.00,3.00,0.00,0.00
Sheffield Weds,Blackpool,1.00,0.00,1.00,0.00,15.00,7.00,5.00,3.00,11.00,14.00,3.00,1.00,0.00,2.00,0.00,1.00
Watford,Wolves,0.00,1.00,0.00,0.00,14.00,12.00,4.00,5.00,9.00,9.00,7.00,8.00,2.00,2.00,0.00,0.00
Blackburn,Middlesbrough,0.00,0.00,0.00,0.00,18.00,7.00,6.00,4.00,10.00,10.00,5.00,3.00,2.00,3.00,0.00,0.00
Blackpool,Rotherham,1.00,1.00,0.00,0.00,17.00,20.00,3.00,6.00,11.00,10.00,5.00,9.00,0.00,2.00,0.00,0.00
Cardiff,Watford,2.00,4.00,1.00,2.00,11.00,16.00,4.00,8.00,10.00,11.00,5.00,4.00,0.00,0.00,0.00,0.00
Huddersfield,Bolton,2.00,1.00,1.00,1.00,24.00,8.00,7.00,3.00,13.00,5.00,10.00,2.00,1.00,2.00,0.00,0.00
Millwall,Bournemouth,0.00,2.00,0.00,2.00,3.00,19.00,0.00,5.00,23.00,10.00,3.00,6.00,4.00,3.00,1.00,0.00
Nott'm Forest,Birmingham,1.00,3.00,0.00,3.00,26.00,18.00,2.00,9.00,12.00,11.00,9.00,9.00,1.00,1.00,0.00,0.00
Reading,Norwich,2.00,1.00,2.00,0.00,12.00,11.00,5.00,3.00,12.00,19.00,7.00,4.00,0.00,3.00,0.00,0.00
Wolves,Brentford,2.00,1.00,1.00,0.00,13.00,17.00,3.00,5.00,16.00,6.00,6.00,9.00,0.00,2.00,1.00,0.00
Fulham,Brighton,0.00,2.00,0.00,0.00,18.00,21.00,2.00,8.00,6.00,8.00,9.00,5.00,1.00,1.00,0.00,0.00
Derby,Leeds,2.00,0.00,1.00,0.00,15.00,8.00,6.00,1.00,12.00,13.00,5.00,2.00,1.00,4.00,0.00,0.00
Ipswich,Charlton,3.00,0.00,1.00,0.00,16.00,12.00,5.00,4.00,3.00,12.00,16.00,4.00,2.00,1.00,0.00,0.00
Wigan,Sheffield Weds,0.00,1.00,0.00,0.00,10.00,6.00,0.00,4.00,9.00,13.00,6.00,6.00,1.00,3.00,1.00,0.00
Birmingham,Wigan,3.00,1.00,2.00,1.00,20.00,10.00,6.00,3.00,7.00,7.00,8.00,5.00,0.00,1.00,0.00,0.00
Blackpool,Millwall,1.00,0.00,1.00,0.00,14.00,17.00,4.00,2.00,9.00,9.00,4.00,4.00,1.00,0.00,0.00,0.00
Bolton,Leeds,1.00,1.00,0.00,1.00,12.00,13.00,3.00,5.00,14.00,12.00,9.00,5.00,2.00,1.00,0.00,0.00
Bournemouth,Norwich,1.00,2.00,1.00,1.00,15.00,12.00,4.00,3.00,4.00,17.00,7.00,5.00,2.00,2.00,0.00,1.00
Brentford,Rotherham,1.00,0.00,0.00,0.00,15.00,17.00,5.00,4.00,3.00,9.00,9.00,4.00,0.00,2.00,0.00,0.00
Cardiff,Fulham,1.00,0.00,1.00,0.00,19.00,7.00,4.00,2.00,8.00,9.00,4.00,6.00,0.00,1.00,0.00,0.00
Charlton,Brighton,0.00,1.00,0.00,0.00,20.00,12.00,5.00,5.00,8.00,12.00,9.00,2.00,0.00,1.00,0.00,0.00
Huddersfield,Watford,3.00,1.00,0.00,0.00,17.00,10.00,8.00,3.00,3.00,9.00,5.00,4.00,1.00,2.00,0.00,0.00
Ipswich,Derby,0.00,1.00,0.00,0.00,18.00,10.00,6.00,3.00,13.00,11.00,4.00,4.00,3.00,0.00,0.00,1.00
Nott'm Forest,Sheffield Weds,0.00,2.00,0.00,1.00,14.00,16.00,3.00,5.00,15.00,10.00,4.00,7.00,1.00,0.00,0.00,0.00
Reading,Middlesbrough,0.00,0.00,0.00,0.00,8.00,11.00,3.00,4.00,12.00,12.00,6.00,10.00,2.00,1.00,0.00,0.00
Blackburn,Wolves,0.00,1.00,0.00,0.00,11.00,11.00,3.00,4.00,13.00,8.00,4.00,7.00,2.00,1.00,0.00,0.00
Barnsley,Wigan,0.00,4.00,0.00,1.00,6.00,15.00,0.00,9.00,10.00,8.00,5.00,8.00,1.00,1.00,1.00,0.00
Birmingham,Watford,0.00,1.00,0.00,1.00,5.00,9.00,1.00,6.00,10.00,8.00,9.00,5.00,4.00,1.00,0.00,0.00
Bournemouth,Charlton,2.00,1.00,1.00,0.00,14.00,11.00,8.00,2.00,12.00,11.00,7.00,2.00,1.00,0.00,0.00,1.00
Burnley,Bolton,1.00,1.00,1.00,1.00,12.00,13.00,3.00,3.00,9.00,8.00,10.00,6.00,0.00,1.00,0.00,0.00
Doncaster,Blackpool,1.00,3.00,0.00,1.00,10.00,8.00,3.00,4.00,8.00,6.00,5.00,5.00,2.00,3.00,0.00,0.00
Leeds,Brighton,2.00,1.00,1.00,1.00,10.00,7.00,3.00,6.00,6.00,6.00,8.00,6.00,3.00,1.00,0.00,0.00
Middlesbrough,Leicester,1.00,2.00,1.00,0.00,15.00,12.00,5.00,7.00,4.00,5.00,4.00,4.00,1.00,0.00,0.00,0.00
Millwall,Yeovil,0.00,1.00,0.00,0.00,12.00,6.00,5.00,2.00,10.00,10.00,3.00,5.00,1.00,2.00,0.00,0.00
Nott'm Forest,Huddersfield,1.00,0.00,0.00,0.00,10.00,5.00,3.00,1.00,8.00,12.00,4.00,3.00,0.00,2.00,0.00,0.00
QPR,Sheffield Weds,2.00,1.00,2.00,1.00,15.00,9.00,10.00,1.00,10.00,11.00,6.00,1.00,1.00,2.00,0.00,0.00
Reading,Ipswich,2.00,1.00,1.00,1.00,8.00,6.00,5.00,5.00,14.00,14.00,6.00,1.00,1.00,2.00,0.00,0.00
Derby,Blackburn,1.00,1.00,1.00,0.00,15.00,20.00,5.00,4.00,11.00,15.00,7.00,7.00,1.00,2.00,0.00,0.00
Blackburn,Nott'm Forest,0.00,1.00,0.00,0.00,6.00,11.00,2.00,2.00,12.00,15.00,7.00,3.00,1.00,3.00,0.00,0.00
Blackpool,Barnsley,1.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,13.00,11.00,7.00,6.00,0.00,0.00,0.00,0.00
Bolton,Reading,1.00,1.00,1.00,0.00,16.00,12.00,5.00,4.00,14.00,6.00,3.00,12.00,2.00,2.00,0.00,0.00
Brighton,Derby,1.00,2.00,1.00,1.00,10.00,8.00,4.00,2.00,14.00,14.00,6.00,6.00,3.00,5.00,0.00,0.00
Charlton,Middlesbrough,0.00,1.00,0.00,0.00,9.00,15.00,3.00,3.00,12.00,7.00,6.00,8.00,1.00,2.00,0.00,0.00
Huddersfield,QPR,1.00,1.00,1.00,1.00,6.00,17.00,2.00,6.00,9.00,11.00,1.00,3.00,1.00,1.00,0.00,0.00
Ipswich,Millwall,3.00,0.00,0.00,0.00,8.00,5.00,5.00,0.00,7.00,10.00,8.00,4.00,1.00,2.00,0.00,0.00
Sheffield Weds,Burnley,1.00,2.00,0.00,2.00,14.00,10.00,5.00,4.00,10.00,12.00,7.00,3.00,3.00,3.00,0.00,0.00
Watford,Bournemouth,6.00,1.00,1.00,1.00,14.00,8.00,11.00,4.00,9.00,7.00,2.00,4.00,2.00,1.00,0.00,0.00
Yeovil,Birmingham,0.00,1.00,0.00,0.00,11.00,10.00,3.00,5.00,9.00,13.00,2.00,4.00,2.00,4.00,0.00,0.00
Leicester,Leeds,0.00,0.00,0.00,0.00,13.00,10.00,2.00,0.00,9.00,11.00,7.00,9.00,3.00,1.00,0.00,0.00
Doncaster,Blackburn,2.00,0.00,1.00,0.00,9.00,15.00,6.00,1.00,9.00,10.00,2.00,7.00,1.00,2.00,0.00,0.00
Barnsley,Charlton,2.00,2.00,1.00,0.00,18.00,6.00,7.00,5.00,10.00,10.00,8.00,5.00,1.00,1.00,0.00,0.00
Birmingham,Brighton,0.00,1.00,0.00,0.00,12.00,8.00,2.00,4.00,8.00,15.00,2.00,3.00,2.00,2.00,0.00,0.00
Bournemouth,Wigan,1.00,0.00,1.00,0.00,8.00,8.00,5.00,1.00,12.00,10.00,3.00,7.00,4.00,2.00,0.00,1.00
Burnley,Yeovil,2.00,0.00,0.00,0.00,21.00,10.00,7.00,3.00,10.00,11.00,3.00,5.00,3.00,2.00,0.00,0.00
Derby,Leicester,0.00,1.00,0.00,1.00,15.00,8.00,5.00,3.00,10.00,13.00,7.00,4.00,0.00,2.00,0.00,0.00
Leeds,Sheffield Weds,1.00,1.00,0.00,1.00,13.00,10.00,5.00,3.00,12.00,11.00,9.00,6.00,0.00,2.00,0.00,0.00
Middlesbrough,Blackpool,1.00,1.00,0.00,0.00,14.00,4.00,3.00,2.00,6.00,11.00,5.00,5.00,0.00,2.00,0.00,0.00
Millwall,Huddersfield,0.00,1.00,0.00,0.00,13.00,8.00,3.00,4.00,11.00,7.00,11.00,4.00,1.00,1.00,0.00,0.00
Nott'm Forest,Bolton,3.00,0.00,1.00,0.00,12.00,7.00,4.00,2.00,7.00,7.00,8.00,3.00,1.00,4.00,0.00,1.00
QPR,Ipswich,1.00,0.00,0.00,0.00,14.00,7.00,3.00,4.00,10.00,8.00,12.00,5.00,0.00,1.00,0.00,0.00
Reading,Watford,3.00,3.00,2.00,0.00,8.00,12.00,5.00,6.00,11.00,13.00,5.00,10.00,2.00,2.00,0.00,0.00
Wigan,Doncaster,2.00,2.00,0.00,2.00,20.00,13.00,7.00,3.00,12.00,9.00,6.00,4.00,0.00,3.00,0.00,0.00
Blackburn,Barnsley,5.00,2.00,4.00,1.00,19.00,5.00,9.00,3.00,11.00,10.00,6.00,1.00,0.00,2.00,0.00,1.00
Blackpool,Reading,1.00,0.00,0.00,0.00,9.00,5.00,4.00,2.00,10.00,8.00,3.00,5.00,1.00,1.00,0.00,0.00
Bolton,QPR,0.00,1.00,0.00,0.00,11.00,6.00,3.00,3.00,18.00,12.00,6.00,8.00,1.00,6.00,0.00,0.00
Brighton,Burnley,2.00,0.00,1.00,0.00,14.00,8.00,3.00,5.00,7.00,7.00,0.00,5.00,1.00,1.00,0.00,1.00
Huddersfield,Bournemouth,5.00,1.00,3.00,0.00,13.00,11.00,8.00,3.00,11.00,9.00,6.00,8.00,2.00,2.00,0.00,0.00
Ipswich,Leeds,1.00,2.00,1.00,1.00,16.00,9.00,5.00,3.00,4.00,9.00,13.00,3.00,0.00,1.00,0.00,0.00
Leicester,Birmingham,3.00,2.00,0.00,1.00,13.00,6.00,4.00,4.00,7.00,5.00,12.00,4.00,0.00,1.00,0.00,0.00
Sheffield Weds,Millwall,2.00,2.00,2.00,1.00,8.00,4.00,5.00,1.00,10.00,10.00,7.00,4.00,1.00,1.00,0.00,0.00
Yeovil,Derby,0.00,3.00,0.00,2.00,6.00,11.00,3.00,7.00,14.00,14.00,8.00,6.00,1.00,2.00,0.00,0.00
Watford,Nott'm Forest,1.00,1.00,0.00,1.00,19.00,18.00,7.00,8.00,8.00,20.00,7.00,4.00,1.00,5.00,0.00,0.00
Wigan,Middlesbrough,2.00,2.00,1.00,1.00,7.00,11.00,5.00,7.00,14.00,12.00,1.00,6.00,1.00,0.00,0.00,0.00
Barnsley,Huddersfield,2.00,1.00,2.00,0.00,11.00,7.00,3.00,2.00,8.00,13.00,1.00,4.00,1.00,1.00,0.00,0.00
Birmingham,Ipswich,1.00,1.00,0.00,1.00,8.00,12.00,3.00,8.00,8.00,7.00,4.00,7.00,1.00,1.00,0.00,0.00
Blackburn,Bolton,4.00,1.00,2.00,1.00,15.00,9.00,6.00,5.00,9.00,8.00,5.00,1.00,1.00,2.00,0.00,0.00
Blackpool,Watford,1.00,0.00,0.00,0.00,10.00,19.00,4.00,6.00,10.00,18.00,8.00,4.00,4.00,3.00,0.00,0.00
Brighton,Millwall,1.00,1.00,0.00,0.00,14.00,5.00,2.00,2.00,6.00,13.00,7.00,3.00,2.00,1.00,0.00,1.00
Charlton,Leicester,2.00,1.00,1.00,0.00,15.00,8.00,8.00,5.00,6.00,12.00,11.00,3.00,3.00,2.00,0.00,1.00
Derby,Burnley,0.00,3.00,0.00,2.00,14.00,10.00,3.00,5.00,9.00,12.00,7.00,1.00,1.00,2.00,0.00,0.00
Doncaster,Bournemouth,0.00,1.00,0.00,1.00,11.00,12.00,2.00,2.00,14.00,11.00,7.00,7.00,3.00,2.00,0.00,0.00
Leeds,QPR,0.00,1.00,0.00,0.00,11.00,16.00,2.00,4.00,11.00,5.00,8.00,4.00,0.00,1.00,0.00,0.00
Middlesbrough,Sheffield Weds,1.00,1.00,0.00,1.00,22.00,6.00,6.00,2.00,5.00,10.00,8.00,8.00,0.00,1.00,0.00,0.00
Wigan,Nott'm Forest,2.00,1.00,2.00,1.00,5.00,9.00,2.00,2.00,10.00,15.00,6.00,5.00,1.00,2.00,0.00,0.00
Yeovil,Reading,0.00,1.00,0.00,0.00,13.00,5.00,4.00,1.00,18.00,10.00,5.00,4.00,1.00,0.00,0.00,0.00
Bolton,Leeds,0.00,1.00,0.00,1.00,16.00,11.00,1.00,2.00,13.00,13.00,4.00,7.00,3.00,0.00,0.00,0.00
